"Time","Angelo South Meadow Air Temp Avg degC","Angelo South Meadow Relative Humidity Avg %","Blue Oak Ranch Air Temp Avg degC","Blue Oak Ranch Relative Humidity Avg %","Bodega Air Temp Avg degC","Bodega Relative Humidity Avg %","Hastings Air Temp Avg degC","Hastings Relative Humidity Avg %"
"2021-11-01 03:50:00",11.88,87.3,11.71,95.2,14.17,96.3,10.34,82
"2021-11-01 04:00:00",11.72,90,11.78,94.8,14.11,96.7,10.26,82.2
"2021-11-01 04:10:00",11.69,90,11.72,95.6,14.06,97.3,10.15,83
"2021-11-01 04:20:00",11.59,91.3,11.7,95.8,14.03,97.8,10.1,83
"2021-11-01 04:30:00",11.56,91.4,11.83,94.5,14.16,97.8,10.06,82.6
"2021-11-01 04:40:00",11.72,89.4,11.79,93.8,14.25,97.7,10.04,83.7
"2021-11-01 04:50:00",11.54,91.7,11.74,94.4,14.31,97.7,10.03,84.4
"2021-11-01 05:00:00",11.63,90.1,11.5,96.2,14.34,97.5,10.14,84.1
"2021-11-01 05:10:00",11.49,92,11.38,97.3,14.48,97.5,10.2,84.5
"2021-11-01 05:20:00",11.47,92.4,11.41,96.9,14.53,97.2,10.21,83.7
"2021-11-01 05:30:00",11.47,92.5,11.56,95.7,14.54,97,10.26,84.1
"2021-11-01 05:40:00",11.47,92.6,11.66,94.8,14.54,96.9,10.43,84.9
"2021-11-01 05:50:00",11.57,92.1,11.71,94.9,14.63,96.5,10.33,84
"2021-11-01 06:00:00",11.53,92.5,11.69,95.1,14.72,95.9,10.5,85.6
"2021-11-01 06:10:00",11.81,89.8,11.69,94.9,14.7,95.6,10.72,84.8
"2021-11-01 06:20:00",11.63,91.9,11.73,94.3,14.7,95.5,10.86,84.1
"2021-11-01 06:30:00",11.55,92.6,11.82,93.7,14.68,95.3,11.06,83.7
"2021-11-01 06:40:00",11.55,92.7,11.9,92.8,14.63,95.3,11.36,82.6
"2021-11-01 06:50:00",11.58,92.8,12.03,92.2,14.71,95.1,11.58,81.8
"2021-11-01 07:00:00",11.6,92.7,11.88,94.1,14.67,95,11.74,81.6
"2021-11-01 07:10:00",11.69,92.3,11.81,94.1,14.72,94.6,11.92,81.2
"2021-11-01 07:20:00",11.83,90.9,11.83,94.2,14.75,94.4,12.15,80.8
"2021-11-01 07:30:00",11.75,92.4,11.87,93.1,14.75,94.3,12.32,80.1
"2021-11-01 07:40:00",12.02,89.5,11.96,92.4,14.76,94.4,12.67,78.05
"2021-11-01 07:50:00",11.91,90.8,11.95,92.7,14.7,94.7,13.09,74.24
"2021-11-01 08:00:00",11.93,91.1,11.85,93.6,14.58,95.3,13.71,70.35
"2021-11-01 08:10:00",11.92,92.1,11.78,93.2,14.57,95.9,13.85,70.89
"2021-11-01 08:20:00",11.92,92.2,12.27,89.2,14.55,96.2,14.03,69.96
"2021-11-01 08:30:00",12.01,91.1,12.6,87.1,14.53,96.6,14.36,68.21
"2021-11-01 08:40:00",12.37,87.5,12.58,87.8,14.55,96.8,14.59,67.07
"2021-11-01 08:50:00",12.44,86.4,12.45,88.3,14.54,97,14.66,66.86
"2021-11-01 09:00:00",12.58,85.9,12.59,86.6,14.46,97,14.68,67.54
"2021-11-01 09:10:00",12.51,87,12.67,84.8,14.41,97.2,14.89,66.45
"2021-11-01 09:20:00",12.73,84.9,12.77,83.4,14.4,97.5,15.13,65.56
"2021-11-01 09:30:00",12.73,84.4,12.77,84,14.4,97.7,15.39,64.76
"2021-11-01 09:40:00",12.6,84,12.72,85.2,14.36,97.8,15.38,64.05
"2021-11-01 09:50:00",12.56,86.8,12.54,86.7,14.34,98,15.4,63.48
"2021-11-01 10:00:00",12.53,86.7,12.26,88.2,14.33,98.2,15.62,62.63
"2021-11-01 10:10:00",12.65,86,12.02,91.2,14.33,98.4,15.73,62.32
"2021-11-01 10:20:00",12.83,88.1,11.9,91.7,14.39,98.7,15.86,62.24
"2021-11-01 10:30:00",12.93,90.3,11.94,92.2,14.35,98.8,16.25,60.88
"2021-11-01 10:40:00",13.01,88,12.01,92,14.39,99,16.41,60.18
"2021-11-01 10:50:00",12.94,89.4,12.14,92.7,14.42,99.2,16.54,59.49
"2021-11-01 11:00:00",13.02,89,12.19,93.6,14.47,99.2,16.56,59
"2021-11-01 11:10:00",13.03,89.1,12.09,95.1,14.54,99.3,16.37,59.12
"2021-11-01 11:20:00",13.19,90.1,12.18,94.8,14.57,99.5,16.43,61.31
"2021-11-01 11:30:00",13.25,89.1,12.26,95.1,14.57,99.5,16.6,60.77
"2021-11-01 11:40:00",13.26,88.7,12.38,94.8,14.57,99.5,17.22,57.7
"2021-11-01 11:50:00",13.41,88.1,12.37,94.6,14.61,99.5,17.36,56.86
"2021-11-01 12:00:00",13.32,89.3,12.36,95.4,14.63,99.5,17.14,55.55
"2021-11-01 12:10:00",13.28,90.2,12.51,92.6,14.59,99.5,17.27,54.92
"2021-11-01 12:20:00",13.46,89.9,12.7,90.8,14.56,99.6,17.57,53.84
"2021-11-01 12:30:00",13.49,89.2,12.77,90.6,14.58,99.8,17.82,53.43
"2021-11-01 12:40:00",13.52,90.1,12.75,90.8,14.67,99.8,17.63,53.15
"2021-11-01 12:50:00",13.55,89.5,12.93,88.5,14.67,99.8,17.63,53.07
"2021-11-01 13:00:00",13.58,85.9,13.02,90.1,14.59,99.8,17.83,52.58
"2021-11-01 13:10:00",13.76,85.7,13.18,84.2,14.55,100,18.11,51.86
"2021-11-01 13:20:00",13.65,85.3,13.21,86,14.6,100,17.94,51.84
"2021-11-01 13:30:00",13.49,88.9,13.04,88.2,14.58,100,17.43,57.64
"2021-11-01 13:40:00",13.45,89.3,12.91,89.7,14.52,100,15.88,75.42
"2021-11-01 13:50:00",13.37,87.8,12.9,90.9,14.55,100,15.19,81.2
"2021-11-01 14:00:00",13.17,88.8,13.06,89.2,14.63,100,14.59,82.9
"2021-11-01 14:10:00",12.93,86.8,13.27,88,14.71,100,14.83,82.4
"2021-11-01 14:20:00",12.75,86.5,13.3,85.7,14.73,100,14.65,81.9
"2021-11-01 14:30:00",12.59,88.5,13.28,85.6,14.84,100,14.7,81.1
"2021-11-01 14:40:00",12.45,88.6,13.3,86.1,14.95,100,15.41,75.73
"2021-11-01 14:50:00",12.43,88.7,13.27,86.2,15.12,100,16.19,69.05
"2021-11-01 15:00:00",12.34,88.4,13.21,86.3,15.09,100,16.28,67.82
"2021-11-01 15:10:00",12.41,88.8,13.16,86.8,15.04,100,16.5,67.25
"2021-11-01 15:20:00",12.25,88.3,13.08,87.2,14.89,100,16.82,64.9
"2021-11-01 15:30:00",12.17,89.5,13.06,87.5,14.74,100,16.89,64.22
"2021-11-01 15:40:00",12.13,90,13.25,86.9,14.52,99.9,17.21,62.24
"2021-11-01 15:50:00",11.97,90.2,13.44,86.6,14.38,99.9,17.24,61.04
"2021-11-01 16:00:00",11.95,89.5,13.42,87.4,14.4,99.9,17.2,61.75
"2021-11-01 16:10:00",11.91,89.9,13.41,87.3,14.55,99.8,17.1,61.74
"2021-11-01 16:20:00",11.84,90.7,13.39,87.7,14.51,99.6,16.86,62.54
"2021-11-01 16:30:00",11.78,90.6,13.36,87.9,14.43,99.4,16.67,63
"2021-11-01 16:40:00",11.56,90.4,13.33,88.4,14.4,99.4,16.56,63.29
"2021-11-01 16:50:00",11.42,90.6,13.35,88.8,14.31,99.4,16.45,63.36
"2021-11-01 17:00:00",11.38,90.8,13.32,88.9,14.23,99.4,16.24,64.2
"2021-11-01 17:10:00",11.36,91.1,13.29,89.5,14.2,99.4,16.02,65.23
"2021-11-01 17:20:00",11.37,91.1,13.25,90.8,14.1,99.4,15.9,65.78
"2021-11-01 17:30:00",11.42,91.4,13.1,92.2,13.91,99.5,15.74,66.66
"2021-11-01 17:40:00",11.43,91.2,13.04,92.2,14.02,99.7,15.65,67.06
"2021-11-01 17:50:00",11.42,91.1,13.02,92.9,14.12,99.8,15.59,67.73
"2021-11-01 18:00:00",11.44,91,12.99,92.9,14.18,99.9,15.53,68.1
"2021-11-01 18:10:00",11.34,91.1,12.95,93.1,14.2,99.9,15.47,68.58
"2021-11-01 18:20:00",11.3,91.2,12.92,93.5,14.2,99.9,15.46,68.98
"2021-11-01 18:30:00",11.24,91.4,12.91,94,14.2,99.9,15.45,69.42
"2021-11-01 18:40:00",11.3,91.6,12.84,94.9,14.16,99.9,15.45,69.88
"2021-11-01 18:50:00",11.37,91.5,12.78,95.4,14.19,99.9,15.4,70.25
"2021-11-01 19:00:00",11.25,91.1,12.76,95.8,14.16,99.9,15.33,70.72
"2021-11-01 19:10:00",11.2,91.4,12.76,96.1,14.12,99.9,15.2,71.35
"2021-11-01 19:20:00",11.23,91.5,12.74,96.3,14.07,99.8,15,72.38
"2021-11-01 19:30:00",11.19,91.2,12.75,96.2,13.99,99.8,14.82,73.24
"2021-11-01 19:40:00",11.07,91.4,12.82,95.7,13.91,99.8,14.55,74.27
"2021-11-01 19:50:00",10.88,91.5,12.94,95.3,13.77,99.8,14.34,75.28
"2021-11-01 20:00:00",10.76,91.8,12.99,95.1,13.74,99.9,14.23,76.09
"2021-11-01 20:10:00",10.65,91.3,13,95,13.71,100,14.04,77.13
"2021-11-01 20:20:00",10.64,91.5,13.02,94.9,13.73,100,13.86,77.73
"2021-11-01 20:30:00",10.56,91.6,13.04,95,13.81,100,13.54,79.01
"2021-11-01 20:40:00",10.41,91.4,13.03,95,13.87,100,13.51,79.5
"2021-11-01 20:50:00",10.23,91.5,13.03,95.2,13.88,100,13.54,79.65
"2021-11-01 21:00:00",10.34,91.9,13.03,95.1,13.87,100,13.68,79.92
"2021-11-01 21:10:00",10.16,91.4,12.99,96,13.81,100,13.87,79.47
"2021-11-01 21:20:00",10.11,91.9,12.92,96.9,13.81,99.9,14.06,78.97
"2021-11-01 21:30:00",9.97,91.4,12.98,96.2,13.81,99.8,14.36,78.02
"2021-11-01 21:40:00",9.92,91.7,13.03,95.9,13.81,99.7,14.58,76.47
"2021-11-01 21:50:00",9.84,91.9,13.07,95.4,13.86,99.7,14.69,76.68
"2021-11-01 22:00:00",9.81,91.7,13.05,95.4,13.9,99.7,14.49,78.03
"2021-11-01 22:10:00",9.76,91.9,12.93,97.1,13.79,99.7,14.29,79.05
"2021-11-01 22:20:00",9.63,92.1,12.87,97.4,13.73,99.7,14.2,79.08
"2021-11-01 22:30:00",9.58,92,12.98,96.5,13.63,99.7,14.36,78.79
"2021-11-01 22:40:00",9.51,92.3,13.05,95.9,13.64,99.7,14.43,78.39
"2021-11-01 22:50:00",9.57,92.4,13.02,96.4,13.59,99.6,14.43,78.8
"2021-11-01 23:00:00",9.43,92.3,12.97,97.1,13.41,99.4,14.4,78.79
"2021-11-01 23:10:00",9.38,92.4,13,97.2,13.01,99.2,14.34,79.17
"2021-11-01 23:20:00",9.41,92.5,12.95,97.9,12.76,99.5,14.13,80.2
"2021-11-01 23:30:00",9.39,92.1,12.85,98.6,12.59,99.3,14.07,81.2
"2021-11-01 23:40:00",9.29,92.4,12.8,99.1,12.65,99.5,14.07,81.6
"2021-11-01 23:50:00",9.27,92.5,12.76,99.4,12.22,99.3,14.06,81.8
"2021-11-02 00:00:00",9.11,92.1,12.75,99.5,12.23,99.5,14.19,81.8
"2021-11-02 00:10:00",9.04,92.5,12.77,99.5,11.38,99.1,14.2,82.4
"2021-11-02 00:20:00",9.04,92.5,12.75,99.4,12.02,99.8,14.18,82.6
"2021-11-02 00:30:00",9.01,92.3,12.75,99.4,11.86,99.6,14.13,82.7
"2021-11-02 00:40:00",8.83,92.4,12.76,99.1,11.86,99.8,14.08,83.1
"2021-11-02 00:50:00",8.73,92.5,12.77,98.8,12.03,99.8,14.1,82.8
"2021-11-02 01:00:00",8.68,92.5,12.79,98.7,12.03,99.8,14.1,82.9
"2021-11-02 01:10:00",8.61,92.5,12.78,98.6,11.74,99.7,14.05,83.9
"2021-11-02 01:20:00",8.54,92.6,12.78,98.7,11.7,99.9,14.06,84.2
"2021-11-02 01:30:00",8.51,92.7,12.77,98.9,11.82,100,14.14,83.9
"2021-11-02 01:40:00",8.44,92.6,12.78,99,11.13,99.6,14.22,84.2
"2021-11-02 01:50:00",8.38,92.7,12.72,99.4,11.01,100,14.35,84
"2021-11-02 02:00:00",8.33,92.5,12.69,99.6,11.53,100,14.37,83.7
"2021-11-02 02:10:00",8.29,92.2,12.7,99.5,11.43,100,14.37,83.4
"2021-11-02 02:20:00",8.24,92.6,12.7,98.9,11.47,100,14.36,83.4
"2021-11-02 02:30:00",8.21,92.6,12.65,98.5,11.76,100,14.3,83.5
"2021-11-02 02:40:00",8.11,92.4,12.55,98.4,11.84,100,14.23,83.8
"2021-11-02 02:50:00",8.03,92.8,12.48,99,12.13,100,14.21,83.8
"2021-11-02 03:00:00",8.07,93,12.46,99.1,12.13,100,14.21,83.4
"2021-11-02 03:10:00",8.16,92.8,12.48,99.1,12.27,100,14.13,83.6
"2021-11-02 03:20:00",8.11,92.6,12.5,99.1,12.27,100,14.03,84
"2021-11-02 03:30:00",8.16,92.6,12.49,99.1,12.17,100,13.73,85.4
"2021-11-02 03:40:00",8.21,92.6,12.51,98.7,12.12,100,13.65,85.9
"2021-11-02 03:50:00",8.23,92.5,12.43,98.6,12.11,100,13.81,85.5
"2021-11-02 04:00:00",8.18,92.4,12.22,98.6,12.12,100,13.84,85.3
"2021-11-02 04:10:00",8.1,92.2,12.04,99.1,12.26,100,13.84,85
"2021-11-02 04:20:00",8.08,91.7,11.9,99.2,12.33,100,13.69,85.5
"2021-11-02 04:30:00",7.977,91.8,11.77,99.3,12.41,100,13.33,86.3
"2021-11-02 04:40:00",7.741,92.5,11.8,99.4,12.44,100,13.03,87.2
"2021-11-02 04:50:00",7.863,92.7,11.68,99.1,12.43,100,13,87.9
"2021-11-02 05:00:00",7.746,92,11.55,98.9,12.39,100,12.95,88
"2021-11-02 05:10:00",7.723,92.5,11.32,98.9,12.39,100,12.73,87.8
"2021-11-02 05:20:00",7.689,92.4,11.06,99,12.38,100,12.37,88.7
"2021-11-02 05:30:00",7.743,92.2,11.06,99.6,12.4,100,12.19,89.1
"2021-11-02 05:40:00",7.878,91.9,11.01,99.4,12.35,100,12.08,89
"2021-11-02 05:50:00",7.908,91.9,10.84,99.1,12.27,100,11.78,88.8
"2021-11-02 06:00:00",7.74,91.8,10.61,99,12.34,100,11.48,89.2
"2021-11-02 06:10:00",7.641,91.9,10.53,99.6,12.44,100,11.25,89.8
"2021-11-02 06:20:00",7.539,92.1,10.82,100,12.54,100,11.02,89.7
"2021-11-02 06:30:00",7.542,91.8,10.89,100,12.65,100,10.82,89.8
"2021-11-02 06:40:00",7.527,92.2,11.02,99.9,12.79,100,10.61,90.1
"2021-11-02 06:50:00",7.631,91.9,10.95,99.6,12.92,100,10.6,90.4
"2021-11-02 07:00:00",7.619,91.9,10.89,99.6,13,100,10.82,90.9
"2021-11-02 07:10:00",7.619,91.7,11.12,99.9,13.07,100,11.06,90.9
"2021-11-02 07:20:00",7.661,91.9,11.38,100,13.08,100,11.37,90.5
"2021-11-02 07:30:00",7.612,92.2,11.91,100,13.14,99.9,11.68,89.9
"2021-11-02 07:40:00",7.585,92.4,12.42,100,13.2,99.9,11.91,89.8
"2021-11-02 07:50:00",7.706,92.3,12.73,99.3,13.39,99.8,12.14,89.7
"2021-11-02 08:00:00",7.766,92,13.45,96.9,13.47,99.7,12.75,90.2
"2021-11-02 08:10:00",7.953,92.2,13.79,93.6,13.61,99.5,13.68,86.8
"2021-11-02 08:20:00",8.13,91.6,14.4,91.4,13.74,99.3,14.33,85.3
"2021-11-02 08:30:00",8.57,90.8,15.08,89.2,13.82,99,14.72,83
"2021-11-02 08:40:00",8.79,89.8,15.56,84.2,14.09,98.8,15.14,81.4
"2021-11-02 08:50:00",8.94,89.4,15.82,82,14.2,98.4,15.44,80.4
"2021-11-02 09:00:00",9.3,88.5,15.6,83,14.47,98,15.5,79.95
"2021-11-02 09:10:00",9.67,86.8,15.27,84.6,14.56,97.4,15.48,79.81
"2021-11-02 09:20:00",9.76,86.7,15.12,85.1,14.78,97,15.76,78.71
"2021-11-02 09:30:00",9.95,87.1,15.1,85.2,15.06,96.3,15.99,77.91
"2021-11-02 09:40:00",9.84,87.9,15.62,82.7,15.04,95.7,16.43,76.13
"2021-11-02 09:50:00",10.46,84.7,16.11,81.5,15.17,95.1,16.49,75.91
"2021-11-02 10:00:00",10.56,85.6,16.55,78.52,15.18,94.5,16.57,75.91
"2021-11-02 10:10:00",11,84.9,16.71,77.47,15.52,94.1,16.59,75.44
"2021-11-02 10:20:00",11.43,84.2,16.41,78.57,15.93,93,16.81,74.75
"2021-11-02 10:30:00",11.87,83.8,16.25,83.3,16.07,91.7,17.05,74
"2021-11-02 10:40:00",11.98,84.3,15.88,86.7,16.29,90.1,17.37,71.49
"2021-11-02 10:50:00",12.11,84.2,15.57,87.6,16.29,88.8,17.78,68.85
"2021-11-02 11:00:00",12.27,84.1,15.7,86.4,16.5,87.8,18,67.27
"2021-11-02 11:10:00",12.8,82.7,15.65,85.9,16.53,87.4,18.67,64.76
"2021-11-02 11:20:00",12.95,83.8,15.92,85.1,16.9,86.7,19.16,62.77
"2021-11-02 11:30:00",13.65,82.4,15.88,84.9,17.1,85.5,19.15,62.03
"2021-11-02 11:40:00",13.6,82.8,15.63,87,17.31,83.7,19.29,62.96
"2021-11-02 11:50:00",14.24,80.2,15.74,85.1,17.63,83.4,19.86,61.7
"2021-11-02 12:00:00",13.5,83.6,16.08,82.9,17.8,82.8,20.07,60.16
"2021-11-02 12:10:00",14.05,83.3,15.89,83.1,18.03,81.8,20.08,60.02
"2021-11-02 12:20:00",15.15,78.95,16.88,78.82,18.77,78.16,20.11,60.87
"2021-11-02 12:30:00",15.12,76.76,17,78.86,18.4,75.22,20.3,60.92
"2021-11-02 12:40:00",14.72,77.68,17.08,76,18.25,74.83,20.42,61.78
"2021-11-02 12:50:00",14.6,77.55,17.34,76.98,18.37,74.38,19.61,64.54
"2021-11-02 13:00:00",15.4,74.83,17.44,75.94,18.39,74.58,20.34,61.28
"2021-11-02 13:10:00",15.81,72.83,17.06,76.59,18.47,74.57,20.2,60.84
"2021-11-02 13:20:00",15.85,72.98,17.56,75.2,18.69,71.93,20.88,59.51
"2021-11-02 13:30:00",15.93,71.4,17.58,76.31,18.91,71.67,20.55,60.25
"2021-11-02 13:40:00",15.63,72.94,17.46,75.89,18.86,73.97,19.53,62.86
"2021-11-02 13:50:00",15.02,72.96,17.05,76.59,19.1,74.51,19.49,63.47
"2021-11-02 14:00:00",14.79,72.13,17.04,76.63,18.59,76.56,20.57,60.04
"2021-11-02 14:10:00",14.14,74.25,17.26,75.59,18.7,76.61,20.32,60.91
"2021-11-02 14:20:00",13.54,77.53,17.14,74.57,18.52,77.64,20.16,61.04
"2021-11-02 14:30:00",13.22,78.15,18,70.82,18.12,79.44,20.7,59.09
"2021-11-02 14:40:00",13.01,79.23,18.19,70.79,18.16,79.8,21.39,57.16
"2021-11-02 14:50:00",12.91,76.96,18.31,69.66,18.24,78.46,20.58,61.3
"2021-11-02 15:00:00",12.63,77.54,18.71,68.61,18.41,77.85,20.58,61.48
"2021-11-02 15:10:00",12.37,80.5,18.76,68.84,17.92,80.3,20.23,63.21
"2021-11-02 15:20:00",12.28,83.1,18.55,71.69,18.08,78.02,20.41,62.89
"2021-11-02 15:30:00",12.09,85.7,17.91,72.92,18.08,77.3,19.68,65.78
"2021-11-02 15:40:00",11.95,85.6,16.98,76.47,17.84,77.7,19.46,66.81
"2021-11-02 15:50:00",11.85,86.3,16.38,79.1,17.59,79.4,18.72,69.48
"2021-11-02 16:00:00",11.65,87.6,16.16,80.5,17.38,81,18.37,70.95
"2021-11-02 16:10:00",11.52,88.9,16.65,77.92,17.35,81.2,17.6,74.2
"2021-11-02 16:20:00",11.42,88.9,16.7,77.39,17.04,82,16.99,76.97
"2021-11-02 16:30:00",11.34,88.9,16.43,79.19,16.35,85,16.76,78.15
"2021-11-02 16:40:00",11.2,90.2,16.39,79.84,15.8,87.3,16.55,79.04
"2021-11-02 16:50:00",11.13,90.9,15.67,83.5,15.34,89,16.33,80.1
"2021-11-02 17:00:00",11.03,91,15,86.7,14.78,90.5,16.23,81
"2021-11-02 17:10:00",10.87,90.9,14.46,88.7,14.28,91.9,16.06,81.3
"2021-11-02 17:20:00",10.67,91.4,14.07,89.4,13.88,92.9,15.87,81.7
"2021-11-02 17:30:00",10.51,91.4,13.54,91.1,13.68,93.8,15.71,81.9
"2021-11-02 17:40:00",10.35,91.4,13.09,93,13.66,94.7,15.67,82.7
"2021-11-02 17:50:00",10.2,91.4,12.68,94.4,13.6,95.3,15.6,83.6
"2021-11-02 18:00:00",10.05,91.4,12.47,95.1,13.36,95.6,15.53,84.7
"2021-11-02 18:10:00",9.87,91.3,12.23,95.2,13.21,96.1,15.27,86.2
"2021-11-02 18:20:00",9.77,91.4,11.99,96,12.96,96.4,15.14,86.8
"2021-11-02 18:30:00",9.6,91.5,11.87,96.3,12.9,96.6,15,87.5
"2021-11-02 18:40:00",9.47,91.8,11.63,96.3,13,97.2,14.96,87.5
"2021-11-02 18:50:00",9.33,91.7,11.38,96.8,13.02,97.5,14.96,87.2
"2021-11-02 19:00:00",9.2,92.1,11.3,97.6,13.05,97.7,14.91,87.8
"2021-11-02 19:10:00",9.07,92.1,10.94,96.9,13.23,98,14.77,87.8
"2021-11-02 19:20:00",8.98,92,10.82,98.2,13.2,98.2,14.65,88
"2021-11-02 19:30:00",8.83,91.7,10.87,98.4,13.21,98.3,14.58,87.9
"2021-11-02 19:40:00",8.73,91.9,10.9,98.3,13.2,98.4,14.28,87.2
"2021-11-02 19:50:00",8.66,92,10.47,98,13.11,98.3,13.92,87.5
"2021-11-02 20:00:00",8.6,92.4,10.52,98.9,12.87,98.3,13.5,88.6
"2021-11-02 20:10:00",8.55,92.4,10.58,98.8,12.38,98,13.23,88.2
"2021-11-02 20:20:00",8.46,92.1,10.61,99.1,12.55,98.4,12.87,87.9
"2021-11-02 20:30:00",8.33,92.2,10.58,98.8,12.59,98.4,12.68,88.3
"2021-11-02 20:40:00",8.21,92.3,10.5,98.8,12.58,98.5,12.57,88.3
"2021-11-02 20:50:00",8.05,92.4,10.53,99,12.76,98.5,12.45,88.3
"2021-11-02 21:00:00",7.922,92.6,10.35,98.9,12.71,98.4,12.34,88.5
"2021-11-02 21:10:00",7.834,92.6,10.39,99.3,12.73,98.5,12.29,88.9
"2021-11-02 21:20:00",7.819,92.9,10.59,99.6,12.22,98,12.22,89.1
"2021-11-02 21:30:00",7.762,93,10.57,99.1,12.07,98.2,12.21,89.6
"2021-11-02 21:40:00",7.734,93,10.56,99,11.85,98.4,12.2,89.4
"2021-11-02 21:50:00",7.688,93.2,10.61,99.4,11.99,98.7,12.16,89.3
"2021-11-02 22:00:00",7.667,93.2,10.43,98.9,11.95,98.7,11.99,89.5
"2021-11-02 22:10:00",7.584,92.9,10.4,99.4,11.96,99,11.83,89.7
"2021-11-02 22:20:00",7.495,92.7,10.49,99.4,12.33,99.3,11.68,89.7
"2021-11-02 22:30:00",7.476,93,10.31,99.2,12.47,99.2,11.67,89
"2021-11-02 22:40:00",7.422,93.2,10.22,99.2,12.54,99.2,11.75,88.7
"2021-11-02 22:50:00",7.307,93.4,10.17,99.5,12.54,99.1,11.92,88.7
"2021-11-02 23:00:00",7.208,93.4,10.38,99.8,12.68,99.1,11.97,87.9
"2021-11-02 23:10:00",7.147,93.3,10.35,99.6,12.74,99,12.02,87.9
"2021-11-02 23:20:00",7.101,93.1,10.3,99.7,12.85,98.8,12.09,88.3
"2021-11-02 23:30:00",6.972,93.2,10.29,99.5,12.96,98.7,12.13,88.5
"2021-11-02 23:40:00",6.934,93.1,9.82,99.4,12.8,98.4,12.34,88.1
"2021-11-02 23:50:00",6.864,92.9,10.06,100,12.63,98.6,12.39,86.6
"2021-11-03 00:00:00",6.7,93,9.98,99.9,12.87,98.8,11.91,87.1
"2021-11-03 00:10:00",6.614,93.2,10.21,100,12.53,98.5,11.47,88.1
"2021-11-03 00:20:00",6.631,93.2,10.18,99.9,12.37,98.7,11.08,88.6
"2021-11-03 00:30:00",6.585,92.9,10.24,100,12.28,98.9,10.83,89.4
"2021-11-03 00:40:00",6.516,92.9,10.39,99.9,12.38,99.1,10.5,89.7
"2021-11-03 00:50:00",6.443,92.9,10.37,99.7,12.32,99.1,10.26,90.1
"2021-11-03 01:00:00",6.38,93,9.79,99.2,12.29,99.2,10.05,89.8
"2021-11-03 01:10:00",6.259,92.5,9.73,99.8,12.42,99.4,9.83,89.9
"2021-11-03 01:20:00",6.253,92.8,10,100,12.45,99.4,9.72,90.3
"2021-11-03 01:30:00",6.151,92.6,9.83,99.8,12.33,99.3,9.75,91.1
"2021-11-03 01:40:00",6.115,92.6,9.58,99.8,12.25,99.4,10.46,92.3
"2021-11-03 01:50:00",6.106,92.9,9.66,99.9,12.36,99.5,10.76,91.4
"2021-11-03 02:00:00",6.038,93,9.47,99.9,12.47,99.5,10.05,89
"2021-11-03 02:10:00",5.915,93.1,9.64,100,12.44,99.3,9.59,89.6
"2021-11-03 02:20:00",5.809,93.2,9.55,100,12.32,99.1,9.61,91
"2021-11-03 02:30:00",5.773,93,9.71,100,12.47,99.2,9.6,90.8
"2021-11-03 02:40:00",5.627,93,9.86,100,12.3,98.9,9.35,90.6
